Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",Alagalla -a wonder that needs care when climbing,5,Friends,"A fascinating climb that can be covered in one day. Definitely Not advisable for climbing SOLO as there are few tricky spots up top where it's better to have some assist.Besides the mountain is located way off houses of people so in the event of a slight injury you might need to walk down well over 2km for help. But if a team of two or more could take on the challenge which is not too risky much of the way. Two possible trail heads- one from the village of Poththapitiya [better for mixed teams] and the other from near the Ihalakotte railway station. Ascent is moderate from Potthapitiya with only the very last part of the climb being tricky through boulders[be watchful there, since even an injury of a small level could make things difficult due to medical help being way below and far.] The other end of the summit has a sharp 40ft precipice which experienced climber could scale down with the help of a rope .Climb down is possible to either trail head. leach activity is likely during the wet months. Water sources not available close to the summit so the campers need to bring supplies up. Views are breathtaking but be extremely careful if camping is done at the summit[ not advisable] Do not venture too far off since the sheer precipice is just feet away. Rains and heavy wind could make things very challenging at the summit and its best to avoid climbing during the rainy months. Trail is clean. BRING BACK ALL YOU TAKE UP THERE. PLEASE BRING THINGS LEFT BY IRRESPONSIBLE PEOPLE if you find any.","December 24, 2023"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Muditha J,"Colombo, Sri Lanka",One Day Hike,5,,Adventure and View Points. Get Down from Ihalakotte rail way station and move forward to Alagalla. Alaglla Hike is a well-known hike between hiking community. You can direcly see the Batalegala Bible Rock from Alagalla. Enjoyed.,"June 9, 2022"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Richard B,5 contributions,Alagalla Hike January 2022,4,Friends,"January 2022 The hike starts at the Tea Factory and the trail is easy to follow for the most part. At one point (behind the last tea plantation at the Natural Reservate sign) we took a wrong turn. Here you have to take the path on the right. The trails are a bit overgrown. The way up took 2 hours and the way down 1 hour. The view at the top was amazing. If you want to go to the summit of the mountain, you have to climb a bit. This is not for everyone, but you will have a nice view regardless.","January 8, 2022"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Kavindu M,1 contribution,Alagalla and Pujagala,5,,Alagalla and pujagala are 2 peaks situated at the boundaries of the Central and Sabaragamuwa Provinces in Sri Lanka. We had a nice trek over there within a day. we started the journey from kandy and came to pottapitiya town by the bus. We first climbed alagalla and next we went to pujagala via the small forest cover .we returned from the path to ihala kotte railway station.,"January 10, 2020"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Chamal Mediwaka,"Columbia, South Carolina",Great one day hike!,5,,"This is a great one day hike for anyone who lives in Colombo or Kandy or within that radius. You can easily take the train and get down at the Ihala Kotte train station and start the hike. If you are a beginner, this might not be the easiest one. Going on to the top of the rock is a bit risky as you need to use a rope (which is already there) but is it worth it. There is more about this on my instagram @chamalthecamel","August 19, 2019"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",The ideal day long hike,5,,"Find the earliest bus to Poththapitiya -you may get it at the Good Shed bus stand ,and start the climb as early as possible. Poththapitiya is a sleepy little town and whatever the food you may need for the climb could be bought there. The road to the mountain begins from the town itself and the time it may take would be around 2 hours at leisure. Path is good enough with first part of it being through the village .Ascent begins later ,first through the little forest and later among the mana grass as the climb gets steep. There is a section with a collection of boulders right before the summit and care is needed when negotiating through them up on to the summit. Behold the vista which is virtually 360 degrees with literally a third of Srilanka in the eye. Alagalle rarely covers itself in mist so the view is a near guarantee.You have two options for the climb down .Amore adventurous one would be the decent to the rail track near Ihala Kotte station,for which a guide and a rope would be needed as the left side of the somewhat steep rock at the summit requires a rope to help yourself down it. Or you could negotiate your way back along the same route used for ascent. Risk level is mostly moderate and leech protection is a need. Public transport is available from Poththapitiya to Kandy until night fall.","August 8, 2019"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,#€$#,"Kandy, Sri Lanka",Easy but exciting and adventurous!,5,Friends,We took the Poththapitiya route and it was sunny day. Take lots of water. it’s a bit hard when you come to the top of the mountain. But after a rough climb the perfect view can be seen! The view is superb. It’s a must travel if you are coming to kandy area. Hike with at least 5 people,"April 26, 2019"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Streetpigeon,"Pranburi, Thailand",Pleasant hike near Kandy,5,Solo,"Stunning views if its a clear day, but this is a lovely excursion from Kandy even if it isn’t perfect visibility. I took what I believe if the easy way up: a road to the right of the Alagalla Tea Factory turns into a track which turns into a path. It was easy to follow all the way to the top. First the route passes among scattered homes that just about constitute a village, then it winds up through tea plantations to a short stretch of forest and then grassland. The top takes a bit of scrambling up some rocks, but there is a rope to help. If you’re reasonably fit and conditions are good, it shouldn’t take much more than an hour and a half all the way by this route. Take care on the way down to avoid slipping.","December 29, 2018"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,ksamarasrna,"Colombo, Sri Lanka",the total hike..,5,Friends,"it's ranked amongst the best of climbs in Srilanka,thanks to the all - in -one experience that awaits,all in a single day that is..morning bus to Potthapitiya, a steep somewhat challenging up ward trek, ,a little rock climb, an awesome vista awaiting at the top, a tricky climb down part way with the help of rope ,a leisurely retreat from the mountain to the beautiful Ihalakotte Station and to cap the day, a train ride to Kandy.. Take water..plenty of it.. marginal leach activity. paths are clear so little worries of getting lost. Bring back all you take ..","April 27, 2018"
https://www.tripadvisor.com/Attraction_Review-g304138-d7001504-Reviews-Alagalla_Mountain_Range-Kandy_Kandy_District_Central_Province.html,Alagalla Mountain Range,4.7,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3d/aa/51/alagalla-mountain-range.jpg?w=700&h=400&s=1,Haritha T,"Bundoora, Australia",If you seek more adrenaline try it with rain!,4,Friends,"There are two main routes to the peak. One is from Ihala Kotte railway station and the other from Pilimathalawa -> Poththapitiya. I took the second route. Got public transport from Colombo -> Pilimathalawa -> Poththapitiya. Rest on foot. Strongly advice not to hike during rainy season because the trekking path is damn slippery when it rains. Be sure to carry some meds to prevent from leach bites. Carry a climbing rope with knots on it and it'll help your team to reach the top of so called ""yam rock""","August 14, 2017"
