Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Jeffrey B,"Harrogate, United Kingdom",Beware,1,Couples,"Had a return train journey booked pre floods to Kandy for 3 days. Given the floods I kept and eye on updates and their website. Also checked with plantation stay we had planned. The train couldn’t reach Kandy but the stop prior . That was ok for us as the hotel said they would pick us up from there. The hotel and I kept checking with the railway and the website right up to 6 hours pre departure. On arrival at the station we were informed that the trains were cancelled due to line work ! We could have got the 4am train and we could get the one at 2pm . Was told at first that the website I looked at was fake! Pointed out that it was the same site I booked and received my tickets from! Then told that they don’t update the website! Welcome to the 21st century. The still manager seemed to find it all very funny. sitting there grinning at me. What’s more the hotel informed me that tickets were still available to buy for that trip!  The railway set up is a shambles , we had looked forward to this rail trip and one of the main reasons for visiting Sri Lanka. I understand floods can’t be helped but giving false and misleading information can. We ended up having to do the the 3hr trip by taxi. The farce didn’t end there . Another trip to Galle was booked (1st class not available ) . We booked 2nd class which should have guaranteed a seat , yeah right ! Might just as well spat in the wind. Still they carried on selling 2nd class tickets . Don’t bother with the toilets either , a hole in the floor to the tracks! We travelled rail in so many countries , this is without doubt the worst. Also beware of scammers on these  journeys waiting to pounce on unsuspecting travellers to lead them on to other scammers at the destination .. they work as teams .","January 11, 2026"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,TAMAN1951,"Liberty Lake, Washington",Nice building,3,Couples,Beautiful building still actively used since the mid 1800’s. Building itself is nice but operation is crowded and feels chaotic. Kinda dirty.,"December 19, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Hemlata S,2 contributions,Convenient,5,Couples,"Quaint, clean, no rush and transport easily available at the gates. So convenient for travellers coming in. Trains coming in at the correct time and leaving at the correct time. Good for commuters.","July 28, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Chamodhi L,1 contribution,About washrooms 🚻,1,Solo,Wash rooms are not repairing. Unclean and very dirty.  So many passengers coming to fort railway station every day. It is very bad situation,"April 23, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Shelley M,"Albany, New Zealand",Nice coastal views,3,,"Beautiful building but bit grubby.  It is chaotic.  If you already have your tickets (purchased online) you can enter at the back entrance which our accommodation dropped us to, it is not as busy but there are stairs to cross over the train lines, so if you are carrying heavy baggage with you this can be hard going.  It was quite hard finding where the train would depart from and where we needed to stand.  A station worker came along before the train arrived asking to see tickets and directed us to the other end of the platform for boarding.  Getting on the train is quite busy and you need to be able to lift your own bags up train steps although some people did help out.  The seats assigned were not that hard to find.  We did the trip to Galle along the coast and it was really pleasant.  The doors on our carriage were locked and they didn't allow people to walk through.  There were a couple of people coming through selling drinks and food but we had already got snacks and drinks with us so didn't need anything.  The right hand side of the train had the best views of the coast but you can still see on the other side.  Glad we had booked first class tickets so we had a seat as the train was packed by the time it arrived at fort station.  Can't purchase 2nd class tickets for this stretch ahead of time.","April 9, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Inspire66336228342,3 contributions,Worst experience unsafe experience of colombo to Kandy train,1,Couples,Very poor experience if you want to experience jumps opt for this .... I booked observation class and too hot .... Must say they should learn to modify their train facility .. Not recommend for pregnant ladies not safe very poor I will say worst service.,"February 15, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,ゆうゆ,"Nagoya, Japan",Watch out for pickpockets.,4,Solo,"I went early in the morning to go to the finish line. She was alone, anxious in the early morning when it was still dark. A man approached us and told us that he wanted to buy a ticket to the finish line. When I felt like I should stay away from him, he opened the zipper on my body bag. My wallet, which was jabbered, I couldn't slurp, but it was a hiccup because I also had my passport in it. We were giving out free milk tea on the station platform, but when I asked if it was free, they said how much. When I didn't get it, a woman nearby told me to drink it because it was free and it was delicious. Urban stations require caution. A photo was also taken of Japanese people, perhaps because they are rare. It's been a lot, but it's been a good experience.","January 12, 2025"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Gavin M,"Penrith, United Kingdom",A must visit Crazy Place if you are travelling in Sri Lanka,4,Couples,"We visited to try and get some advance  reserved seats on the Colombo to Badulla train, but of course there were none. All bought by tour operators. We then waited in the station to get a train from Colombo to Kurunegala. The station was manic, facilities weren’t great but it was efficient. We also were helped to our train, which was 3rd class, slow and stopped at every station. A real experience.","December 11, 2024"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,galadiel67,"Chiavari, Italy",Colonial-era station,3,,"Colombo Central Station has remained what it once was. It's a white building, colonial style; inside a good number of lines but not many and united sidewalks knows overpasses, certainly not suitable for those with reduced mobility. The ticket office and information office work well and provide the required directions.","November 23, 2024"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Glenda,"Mumbai, India","please dont use the train from colombo to kandy , book  a car. Old unmaintained trains. toilets dirty even in first clas",2,Couples,"the train from fort col to kandy at 10:00 am was the worst journey ever. at every halt jerk, (booked first class), no water","October 28, 2024"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Al0ha-Aloha,"Hiroshima Prefecture, Japan",,4,Friends,"It's amazing during rush hour on weekdays, but after that people are sparse. A relaxing atmosphere is ◎ Fort station was checking? (collecting?) tickets at the exit, so don't lose them. I struggled to get in and out at first, as I couldn't see it at the entrance. 笑 Train ride in the Indian Ocean wind, awesome~ I thought it might be a good idea to take a few stops to get to the nearest area.","October 2, 2024"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Barbara E,"Amsterdam, The Netherlands",,4,Couples,"Drop off in front of the station, 10 platforms, and several matrix signs with departure information. Multiple small vendors, benches to sit on the platforms, and free of charge toilets spotted at platform 1 (I didn't check them out, do no idea of the state).","October 1, 2024"
https://www.tripadvisor.com/Attraction_Review-g293962-d7034994-Reviews-Colombo_Fort_Railway_Station-Colombo_Western_Province.html,Colombo Fort Railway Station,3.3,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=700&h=400&s=1,Sergi S,1 contribution,,5,Couples,"We got there to get tickets and ended at the tourist information center. Prassana there got us the tickets and recommendations for the trip we planned. He offered us a private driver and, even though it was for us an unexpected expense, it really was the best idea. The driver, Terence, guided us through part of the trip with experience and cordiality. We avoided long hours of transport and made the best of our trip. Terence took us to everywhere and gave us local recommendations, and was a great way to know the country from a local view. Probably not the best option for everyone, but I would undoubtedly recommend it to anyone. Thanks to Terence for everything, we will contact him again if we are lucky enough to be back.","September 29, 2024"
