Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Jeffrey B,"Harrogate, United Kingdom",Day out,3,Couples,"Thought we would give the zoo a try. About £10 per person for tourists which was ok. Quite an easy route to follow around . A reasonable array of animals but can’t say I felt comfortable seeing some of them in small areas for their size, eg Tigers, bears . Keepers made a point of letting tourists feed animals , nice touch. Lots of signs saying don’t throw rubbish! Waste of time given the amount rubbish we saw all over and in enclosures. Overall we found it pretty grubby and far too cramped for a good few animals of the larger variety. A very run down zoo.","January 4, 2026"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Aspen K,13 contributions,Zoo Day with a Guide,5,,"Our Trip to the Zoo was great, the Uber was able to drop us off directly infront of the main entrance of the zoo, I will caution it is a busy tight street with no sidewalks so if you are bringing your children,  be mindful of the vehicles. There are 3 different prices, Local, Tourist, and another that was less than Tourist but more than Visitor. If you have a Diplomatic ID you will get the local price which is 200LKR vs. The 4000LKR tourist price. The entrance line was hectic, and you had to stand your ground when people tried to cut, but it was very quick to get through (we went around 3 hrs before closing) As we walked around the animals were actually out and present which is a nice change from past experiences at other zoos. A Zoo employee offered us a guided tour, moving us around crowds providing us front views of the animals, and carried snacks and plants that he handed us to feed the animals. There was no agreed upon price for this tour, at the end it was simply put ""if you were happy with your experience please tip what youd like"" During the walk around another employer added himself onto our tour and also asked for tip, I tipped him less because I knew what the deal was but wanted to be appreciative of the assistance.  Although I am sure we were targeted for this guided tour because we were American, it honestly made my kids day and felt like VIP treatment, so I did not mind at all. We were able to get up close and Personal with both the Elephants and thw Giraffes and feed and touch them both. So I actually recommend the tour. It was hot so I suggest bringing water and a fan. But there are refreshment vendors on the path.","November 30, 2025"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Walter D,"Boussu, Belgium",Zoo considers tourists not has human beings but as money bags,1,,"Well I can not recommend this place, because of very high entrance rates for foreigners ! Again and again it shows how Sri Lanka despises tourists in their country. Rates for tourist are nearly 20 x higher than for local people , please never go there ! Prejudice and economic racisme is rampant in that country !","November 15, 2025"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Dominic B,3 contributions,Great Experience at Dehiwala Zoo,5,,"Had a wonderful time at Dehiwala Zoo! The variety of animals was impressive, and the grounds were clean and well-maintained. It’s a peaceful place to walk around and a great spot for families and kids. The animal enclosures are spacious, and the staff were friendly and helpful. The aquarium and reptile sections were especially interesting. Highly recommended for a fun and educational outing near Colombo!","October 6, 2025"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Travel Snappy,Sri Lanka,A great place to spend time in the wild.,5,Friends,"The Dehiwela Zoo is a fantastic day out for all ages!  I was impressed by the spacious enclosures and the obvious care taken with the animals.  The variety of species is remarkable, from majestic elephants to playful primates.  The bird show was a highlight, showcasing vibrant colours and impressive skills.  The zoo's layout is easy to navigate, and there are plenty of food stalls and rest areas.  A truly enjoyable and educational experience, I highly recommend a visit to the Dehiwela Zoo!","February 11, 2025"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Savindu Yasara,"Galle, Sri Lanka",Best place to watch animals in a zoo,5,Friends,Well experienced place to watch animals in a zoo and got lot of knowledge about animal world. Recommended for children to come and visit.,"February 10, 2025"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Faisal F,3 contributions,Nice zoo cum park,5,,Good few hours with family. Fed elephants there and went to eat delicious vag food at the end. Good experience overall..,"December 15, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Expedition259657,1 contribution,Stay away,1,,"This zoo should be closed. Terrible conditions for the animals. Small cages, distressed animals and some had no shadows for the sun. Please, dont contribute to keep this place open. They charge a lot more for foreigners than locals, but it does not justify the horrible life of the animals.","November 11, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Scenic Lanka Personal Tour Drivers,"Colombo, Sri Lanka",A Fun-Filled Family Adventure at Dehiwala Zoo,5,Family,"The zoo is home to a wide variety of animals, from majestic elephants to playful monkeys and colorful birds. The enclosures are well-maintained, and the animals appear healthy and well-cared for. One of the highlights was the elephant show, where we got to see these gentle giants up close, showcasing their intelligence and strength. The zoo also has a beautiful butterfly garden that was a peaceful retreat amid the excitement of the day. The staff were friendly and knowledgeable, always ready to answer questions and provide interesting facts about the animals. It’s clear they care deeply about conservation and educating the public. While the zoo can get busy, especially on weekends, there are plenty of shaded areas to relax and enjoy a picnic. The kids particularly loved the reptile house and the chance to feed some of the animals. Overall, Dehiwala Zoo offers a fun and educational experience for families and animal lovers alike. It's a great way to spend a day, especially if you're looking to learn more about wildlife in Sri Lanka. Highly recommend a visit if you're in the Colombo area! #ExploreSriLanka #ScenicLankaPersonalTourDrivers","August 18, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Pidushan de silva,"Colombo, Sri Lanka",Good place to visit,4,Friends,We went dahiwala zoo it was nice place varites of animals .i love elephant dance they have train so well but some of spaces are small to them but we watch and enjoy good place for kids to visit,"August 14, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Chathu Rathnayake,"Kandy, Sri Lanka",,5,Couples,I am very happy with the day that was spent. It is very valuable to have information boards displayed everywhere. I went here for the first time.. Some of the animals seemed to be sick. Very sad to see them. The bird park is very beautiful. There are many things to learn about animals. You can also learn about trees.,"June 8, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,valentine b,"Navi Mumbai, India",,1,Couples,All animals look sad and depressed . The upkeep of the snakes and the bear is extremely saddening . The tigers look disoriented. The space allotted for these majestic creatures is really small. In my opinion all zoos should be shut no matter where they are . The poor animals do not deserve a life of this sort . My advise to tourists pls do not go to any zoo..,"May 17, 2024"
https://www.tripadvisor.com/Attraction_Review-g499079-d13157300-Reviews-Dehiwala_Zoo_Sri_Lanka-Dehiwala_Mount_Lavinia_Western_Province.html,Dehiwala Zoo Sri Lanka,3.9,55,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/c4/fc/3f/wild-cat.jpg?w=700&h=400&s=1,Travel Snappy,Sri Lanka,,5,Solo,"The humid Sri Lankan air clung to me as I entered the Dehiwela Zoo. As a traveler with a penchant for wildlife, this was a must-visit on my Sri Lankan itinerary. Stepping through the gates, the cacophony of animal calls replaced the city's honking symphony. My first stop was the elephant enclosure. These gentle giants, Sri Lanka's national treasure, were munching on hay. A sense of awe washed over me as I observed their wrinkled grey skin and intelligent eyes.  A young elephant playfully sprayed itself with water from its trunk, a gesture that made me chuckle. Next, the playful chatter of monkeys drew me in. The Sri Lanka Langurs, with their distinctive black faces, swung from branch to branch, seemingly unfazed by the watching crowd.  A troop of macaques squabbled over a fallen banana, their antics providing a moment of amusement. The roar of a lion echoed through the zoo, sending shivers down my spine.  Approaching the lion enclosure with a mix of anticipation and trepidation, I saw the majestic creature lounging in the shade. Its golden mane shimmered in the sunlight, and its powerful presence commanded respect. The Dehiwela Zoo isn't just about the big cats. I wandered past enclosures housing a variety of fascinating creatures, each with its own unique story.  The graceful peacocks strutted their vibrant feathers, the zebras grazed peacefully, and the giraffes stretched their long necks, offering a glimpse into their leafy breakfast. One of the highlights was the feeding time at the hippopotamus enclosure. These enormous creatures lumbered out of the water, eagerly awaiting their meal.  It was a sight that both impressed and slightly terrified me with their sheer size and powerful jaws.","April 2, 2024"
