Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Henry Tissera,376 contributions,“Honouring a National Hero: The Elephant Pass Bulldozer Memorial”,5,,"Our recent visit to the Elephant Pass memorial site, where the terrorist bulldozer was destroyed by Hasalaka Gamini, was a deeply moving and meaningful experience. This place stands as a powerful reminder of courage, sacrifice, and the high price paid for peace in Sri Lanka. Seeing the remains of the bulldozer and learning about the bravery displayed during that historic moment gave us a profound sense of respect and gratitude for the soldiers who defended the nation. The site is simple yet impactful, allowing visitors to reflect quietly on the events that took place. It is well worth visiting for anyone interested in Sri Lankan history, especially those who wish to understand the realities faced during the conflict years. A visit here is not just sightseeing—it is a moment of remembrance and appreciation. Highly recommended for those traveling through Elephant Pass.","January 2, 2026"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Neha K,"Mumbai, India",Historic,4,Friends,Keeps an important place for itself with respect to the civil war. The history behind this place is mind blowing considering one of the recent battles of the 21st century having taken place here.,"March 29, 2023"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,LaraBton,89 contributions,Fascinating historical site and bird watching,5,,Fascinating place. Good bird watching. We ate breakfast at the cafe and enjoyed the hstorical backdrop.,"February 1, 2022"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Roshen W,"Kandy, Sri Lanka",Memorial for a true hero,5,Friends,A memorial dedicated for one of the greatest ever war heros and the first recepiant of Parama Weera Vibhushaya Copral Gamini Kularatne. Also this is the only place in Sri Lanka where you can clearly witness the sunrise & sunset...,"January 12, 2022"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Kumaran Sathiyamoorthy,"Kuala Lumpur, Malaysia",War memorial,4,,Quite a historic place. Learning the history about how a war once took place here was very interesting. A landmark in the 30 year civil war history of Sri Lanka,"September 25, 2021"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,TwoMumsTravelling,"Colombo, Sri Lanka",Memory Place,5,,"I got the feeling climbing up the monument the gravity of the moment, the remembrance of lives lost to bring peace into this land. Do climb!!!","October 18, 2020"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Gyan Fernando,"Exeter, United Kingdom",A narrow passage,3,,"A geographically interesting narrow isthmus which carries the railway and the A9 road into Jaffna and was of strategic importance militarily during the Civil War between the Sri Lankan forces and the Tamil Tigers. As such it has now become a war memorial. There is a small restaurant with reasonable toilets, maintained by the Army. The modernised railway station is nearby. In spite of the name there are no elephants on the pass itself.","March 5, 2020"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Adam C,"Downton, United Kingdom",Hero’s Memorial,5,Couples,Well worth a stop and to spend 30 minutes to read about the national war hero and to visit his memorial to his heroic actions. A true hero fell.,"February 3, 2020"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Historic,5,,"As you pass through, given its importance as the main link between the Jaffna peninsula and the mainland, you are busy clicking away!","January 12, 2020"
https://www.tripadvisor.com/Attraction_Review-g304135-d3628765-Reviews-Elephant_Pass-Jaffna_Northern_Province.html,Elephant Pass,4.0,138,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2c/eb/b1/elephant-pass-war-memorial.jpg?w=700&h=400&s=1,Sarah Afker,"Colombo, Sri Lanka",The nostalgia,5,,The whole A9 experience was amazing.  Elephant pass to me came live after all those years of reading of it and washing it in the news. This place holds significance for the millennials of Sri lanka.,"November 12, 2019"
