Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Getaway61986313496,13 contributions,must do activity,5,,"nice small railway station very close to the market place and centrally located in ella ,need to buy a platform ticket to enter , train ride kandy or nuveralia to ella is a must .","October 24, 2025"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Shelley M,"Albany, New Zealand",cute station,4,,"A small station but no stairs that you have to lug your luggage over which was really nice.  Gets very busy outside the station with almost no parking available.  Lovely station that looks cared for.  Go for a walk on the tracks from here to 9 arch bridge, obviously checking for trains first, but very pleasant walk. Announcements very clear for incoming trains.  Has a bathroom to the right as you enter the station.  Remember to keep your tickets as they do check these when you try and leave the station.","April 9, 2025"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,V L,"Hong Kong, China",Get to Ella!!!,4,,"Take a train from Ella to Badulla, pass the Nine Arches and photos out of the side of the train. Make sure you hold on tight though! I found Ella to be quite pleasant although the traffic was a bit on the messy side. Be careful of the accommodation you  book as a lot of them may require a bit of climbing. Lots of activities around Ella, so have fun! Some great restaurants there but only picture of one, try it!","August 27, 2024"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Al & Family,"Leicestershire, United Kingdom",Great family experience,5,Family,"Great experience of local railways, beautiful countryside, friendly staff; colonial in feel and rolling stock likely from same era…..very memorable.","July 14, 2024"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Victorianlad,"Melbourne, Australia",Well cared for,5,Friends,"Our group's 'Viceroy Special' train paused here for many minutes to cross (meet) a mixed train (with freight wagons and at the rear, passenger carriages). The station was clean and well looked after. There is at least one kiosk. As usual in Sri Lanka for all but the smallest stations, it is staffed whenever trains are timetabled to stop for passengers.","March 24, 2024"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Tyson H,14 contributions,Great Train Ride,5,Couples,Amazing trip on the train up into the hills for such a small fee. If you're in Sri Lanka you must catch the train through the countryside it's unbelievable.,"November 8, 2023"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Zoran N,5 contributions,10/10 service,5,,"Amazing positive experience on train station in Ella. I lost my wallet at the station in Ella and I got it back the next day, thank's to a very kind station master. Very satisfied with the service and honesty of all employees on the station.","June 3, 2023"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Janka K,"Brno, Czech Republic","Unpleasant staff working at the place, but a nice building architecture",2,Couples,"If you are getting off at this train stop, take a picture of your ticket. There is a person collecting the tickets from all the passengers when they are leaving the train station. I didn't know that, asked the guy collecting the tickets if I can keep mine as a present, but the guy was unpleasant, didn't even look at me, showing me to leave. I see this place totally prepared for and welcoming tourists. The railway station itself is a nice and historical building. If you enjoy things like that, I recommend to visit the in-between train arrivals. Otherwise the place is too crowded and you just move on your way to the exit with everyone else.","April 7, 2023"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Sharm,"Ragama, Sri Lanka",Neat and Clean,5,,Well maintained railway station. Nicely signposted for the carriages. Announcements can actually be understood!,"February 12, 2023"
https://www.tripadvisor.com/Attraction_Review-g616035-d12925772-Reviews-Ella_Railway_Station-Ella_Uva_Province.html,Ella Railway Station,4.2,127,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d8/9b/78/this-tour-takes-you-on.jpg?w=700&h=400&s=1,Panduka J,"Nugegoda, Sri Lanka",Visiting the station after many years,4,,Ella has become a very popular destination with the tourists in Sri Lanka. The railway station serves as a major gateway facilitating travel to the popular city.  The station is well maintained and the staff in attendance barring the SM were quite helpful to share details of the attractions nearby. .,"September 17, 2020"
