Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,ingrid d,68 contributions,Top,5,Couples,Not to be missed. Unique experience A boat safari with guides. Very beautiful! Many elephants and birds. Even monkeys and crocodiles. We stayed until sunset. Which was amazing to see.,"October 7, 2025"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Kate bartlett,"London, United Kingdom",Wonderful boat safari,5,Couples,"Amazing boat safari at 6.30am.  Saw elephants,  crocodiles,  snakes and so many beautiful birds.  Don't miss it.  It was raining too much on our first day so the trip was cancelled.   But well worth the wait.","March 14, 2025"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Michael W.,"Schweinfurt, Germany",Beautiful landscape with elephant and crocodile,5,Couples,I went on a water safari over the Gal Oya Lake Club. These impressions were absolutely worthwhile. It comes as it comes you are lucky that you happen to see animals or not. We happened to watch an elephant for a long time and see a crocodile. Our company took a lot of time. Thank you. It was a special result for me,"February 21, 2025"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Warren F,"Auckland, New Zealand",Good experience..pity water level was high,3,,We were looking forward to this tour and it was a nice experience which could have been better if the water level hadn't risen drastically in the last few weeks. It meant the elephants and crocodiles moved away. We saw islands full of birds and the odd Buffalo. The guide also stopped for quick tea and snacks on one of the islands. Recommend doing the tour late afternoon as we were able to capture the amazing sunset. Would recommend but just confirm water levels aren't too high or low so that you get to see wildlife other than birds.,"April 10, 2024"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Mohan A,9 contributions,Wild life experience,5,Friends,It was a super nice experience. So many elephants in the small islands. Lots of birds as well. And few crocodiles. If you are really Lucky could see elephants swimming across to the islands. Have to book a boat at the wildlife department prior to the safari.,"June 6, 2023"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Kandy V,World,Birds and elephants,5,Solo,A great place to spot huge amounts and verity birds but also famous for the swimming elephants. We had an amazing few hours.,"January 6, 2023"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,neil j,"Colombo, Sri Lanka",GALOYA MAKARAKATA VISIT,5,,Galoya is unique.  After reaching the galoya  then take a walk done to see the makarta kata where the river disappears and going round to see how water comes from matrakata is lifetime experience. Then have a bath and enjoy Galoya  lodge repaired lunch is a superb unmatched experience.,"May 3, 2021"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Emeric M,Sweden,Perfect for couple with high standards,5,Couples,"Very good design of the bungalow, a true feeling of calm and serendipity in the middle of the jungle. This place is not crowded and not well known. Service is high quality. Naturalists ca. Show you around and guide you with interesting information about the birds.","February 28, 2020"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Charitha rest inginyagala,"Ampara, Sri Lanka",Galoya safari charitha reast,5,,Charitha rest Come and enjoy. (boart safari and jeep safari) we take you on this safari fun and safe,"October 21, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,David G,"Camberley, United Kingdom",Peaceful and tranquil in the late afternoon,4,,"We were considering taking the boat and jeep safaris.  On our travels we heard bad things about Gal Oya, especially the lake ‘very little water, dead fish and smelly’.  The guest house had quoted LKR 6,000 each for the boat safari, which I think was for the whole boat.  While we were at the guest house the price finally getting down to LRK 8,000 for the whole boat and transport to and from, which as we shared with another couple made it  LKR 2,000 each.  We took the late afternoon trip and overall it was enjoyable.  The water was little low, only a couple of dead fish and no smell.  Crocodiles, lots of birds, elephants albeit a long way away, peaceful and tranquil in the late afternoon.  We also got out of the boat for a walk, to try and get a little closer to the elephants.  So overall this became one of the highlights of our three weeks in Sri Lanka.  It is worth trying the National Park office (latitude 7.21872, longitude 81.542003) to book boat safaris direct, good value if you are a group of four or five.  You can walk from the office to where the boat leaves from – 700m down the road towards the dam, take the path on the right, where the road turns to the left, leading up to the top of the dam and the boats leave from the other side of the dam.","September 29, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Sarah H,"Ocala, Florida",,5,Friends,"There are two safaris at Gal Oya. During the land one we saw elephants from a great distance, jackals, beautiful birds and other animals. The afternoon boat safari took us to an island and hers of elephants were on the opposite bank. Highly recommend these two safaris as you do not chase the animals, you get to observe them in their natural habitat. It was spectacular.","August 5, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Jayjay44,"Oxford, United Kingdom",,4,Couples,"With the exception of a few charming fishing boats, we were quite literally the only ones on the dam. Apparently there's only ever two boats on the water. Meaning that it is perfectly tranquil. Although the national park authorities should think about fixing or replacing those boat motors (ours was leaking fuel and even died us halfway through the excursion... not very environmentally friendly!). Still, where do you find this type of pure nature these days? Very very special!","May 5, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,cantravnut,"Toronto, Canada",,4,Couples,"lovely peaceful reservoir for boat trip and wildlife viewing.  Local fisherman are allowed despite it being a national park but we enjoyed it.  Limited wildlife (good for water birds, elephants, water buffalo).","April 25, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Sudesh,"Matara, Sri Lanka",,4,Friends,You can enter to the park using boat through the reservoir. Boats are available near the dam But mid sunny day would be difficult,"March 25, 2019"
https://www.tripadvisor.com/Attraction_Review-g1815618-d2559367-Reviews-Gal_Oya_National_Park-Ampara_Eastern_Province.html,Gal Oya National Park,4.4,85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=700&h=400&s=1,Pete B,13 contributions,,5,Couples,"It is a beautiful park, at the beginning it was forest and then a lake. This was a reservoir which is large. Then we drove a short way to the boats which took us around the lake. Beautiful.","March 24, 2019"
