Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Buddika S,3 contributions,Trekking,5,Couples,"Wonderful Amazon tour from Horton plains very good guide Ranjan and went to the best forest in Sri Lanka today thank you very much Ranjan he is wonderful guide and make good tour we enjoy a lot,+94718824646 naturally and bird watching guide.","December 20, 2021"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Pere P,10 contributions,Nice hike,5,,"Very nice location, peaceful hike around beautiful nature with nice views on top of the mountain, totally recommend it!","September 4, 2019"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,sherry_dissa,"Colombo, Sri Lanka",Trail,5,Friends,It's a amazing path way for the trails of the hill side in the beautiful nature friendly ceylon tea plantations.,"July 15, 2019"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Anton O Fernando,"Nuwara Eliya, Sri Lanka",Same as happy,5,Business,Be good to the nature will give the return like this to see and admire very nice location and happy to be here in a happy way,"March 20, 2019"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,sherry_dissa,"Colombo, Sri Lanka",Mountains,5,Friends,"Your path via udaweriya,you can got a nice views on your way for momorable forever.always you can feel heaven is there","December 10, 2018"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Nilmini P,Sri Lanka,Hortan plains tour,5,Friends,Hortan plains is one of the most visited place of mine. There is few different roads we can go there. Many select Ohiya and few select via Kalupahana. After you enter Hortain plains there is more than mini worlds end and worlds end to see. There is few beautiful streems and Bakers fall.,"October 15, 2018"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Bruce N,"Vinslov, Sweden",highland,5,,Me and wife visit Horton Plains on the way from Kandy to Hikkaduva  Very good natur park.   But lots of walking.,"September 20, 2018"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Jackie o,"Greater London, United Kingdom",Not just a walk,4,,"Some say you have to get up at 5am to do this walk.  The sensible logic is that it gets hot during the day and the damp air rising up at the lookout points condenses in to cloud by late morning and kills the view which you are there for, plus rain can come in the afternoons.  We have teenage children, so 5am was never going to happen.  We started walking at 10am.  The day was part sunny and with a slight breeze and we made it to Little Worlds End with a great view.  The Worlds End view, was cloudy when we got there, but within seconds had entirely cleared for pictures, and then gone again within another minute.  Lots of wildlife along the way, Monkeys hooting and displaying in the trees, coloured lizards / chameleons all over the place, lots of pretty birds and flowers.  Best to go clockwise so you reach the lookout places as early as you can, ref the cloud issue, and then take a leisurely walk down and around the valley and the stream, meanders and waterfalls along the way.  Worth a quick look at the basic museum near the ticket office, to understand the context of how the place has changed over the centuries, deforestation, elephant killing, the impact of invasive species (who would have through Trout could be a pest?), and even potato farming as recently as the 60s, before it was made in to a reserve.  Not cheap to enter the park, but worth it to keep and preserve the area.","August 9, 2018"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Lasantha Fernando,"Negombo, Sri Lanka",Nice feeling,5,Friends,See this place. It has a huge area of beauti. Feel the environment by walking there. It is cool place even in the day time.,"October 7, 2017"
https://www.tripadvisor.com/Attraction_Review-g2562188-d4177828-Reviews-Horton_Plains_Kalupahana_Trail-Ohiya_Uva_Province.html,Horton Plains Kalupahana Trail,4.5,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/f5/90/photo2jpg.jpg?w=700&h=400&s=1,Lingang,"Henderson, Nevada",Good for a light hike of 2 to 3 hours on highland,3,Couples,"This is on a grass high land with some up and down, but overall it is easy hike. Very fresh air on highland and some good photo spot.","September 6, 2017"
