Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,lamoz s,1 contribution,Peaceful and spiritual experience for couples,5,Couples,"We visited Kalutara Bodhiya during our trip to the south coast and it turned out to be one of the most peaceful stops of our journey. The temple is beautifully located by the Kalu River, and the huge white stupa looks amazing from the main road. What makes it special is that you can actually go inside the stupa and see lovely wall paintings that tell Buddhist stories. As a couple, we really enjoyed the calm and spiritual atmosphere it was a nice break from the beach and the traffic. We sat quietly for a few minutes just taking in the surroundings and watching locals bring flowers and offerings. dress modestly, remove your shoes before entering, and only give donations at the official box. There were a few people near the entrance offering “tours” for money, but it’s best to politely decline. We went around 4:30 pm, and the light was beautiful for photos, especially with the river and sunset in the background. Highly recommend a short visit if you’re passing through Kalutara peaceful, cultural, and a lovely shared moment for couples.","November 4, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,abayed r,3 contributions,Peaceful Spiritual Spot by the River A Must Visit in Kalutara,5,Couples,"We visited the Kalutara Bodhiya during our stay in Kalutara and were truly moved by its peaceful and spiritual atmosphere. This sacred Buddhist temple is built around one of the 32 saplings of the original Sri Maha Bodhi tree in Anuradhapura, making it a very important site for local worshippers. The white stupa (dagoba) is unique because you can actually walk inside it, which is quite rare in Buddhist temples. Inside, there are beautiful murals and statues depicting the life of the Buddha. The entire area is clean, well-maintained, and offers a calm, respectful environment. Located right by the Kalu Ganga (river), the setting is very picturesque especially at sunset. It’s a great place to reflect, take in some history, or simply enjoy the peaceful surroundings. We also appreciated that it wasn’t overcrowded when we went in the late afternoon.","October 15, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,Grace l,9 contributions,Peaceful Hidden Gems and an Amazing Kalutara Temple Experience,5,,"We had an amazing experience with Hai Sri Lanka Tours! Before starting our main tour, our guide Sithum and driver Dilan took us to a local hidden gem early in the morning. It was stunning and peaceful, with almost no crowd, making it a perfect start to our day. One of the highlights of our tour was visiting Kalutara Temple. The temple is incredibly beautiful and serene, with impressive architecture and a calm atmosphere that makes it perfect for reflection and photography. The surroundings are well-kept, and the temple offers a glimpse into Sri Lanka’s rich cultural and spiritual heritage. Highly recommend visiting if you want a peaceful and memorable experience.","October 8, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,yoman sassa,2 contributions,A Peaceful and Historic Experience at Kalutara Bodhiya,5,Couples,"A trip to Kalutara Bodhiya was an unforgettable experience. This temple is not only a religious site but also a cultural and historical monument. With Hai Srilanka Tours, I had the opportunity to observe beautiful Buddhist statues, paintings, and traditional buildings, while learning a great deal about the religious and historical significance of the place. Our guide, Sithum, explained everything to us in detail. No admission fee – free for all, though donations are welcome. Around 1–2 hours is the best to see and absorb the atmosphere.The temple atmosphere is serene and spiritual. You feel peace and positivity as soon as you enter.It is crowded during weekends, poya days (full moon), and religious festivals, but weekdays are quite emptier and peaceful.The staff and monks were friendly and courteous, politely guiding visitors on customs and prayers.This is the best place for anyone looking to experience Sri Lankan culture, Buddhism, and history. It is most appropriate for families, singles, and groups looking for an enrichment experience.","September 21, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,Kandula A,5 contributions,Beautiful temple with amazing views,5,Solo,"This is a beautiful temple. Be sure to climb up the stairs into the stupa (the large dome structure) and enjoy the views of the region. For an interesting little-known peaceful meditation place, cross the street into the other temple complex and find the building with a bodhi tree in a small courtyard. The building has a stone bench that surrounds the courtyard, and is a great place to meditate.","June 30, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,Emma Rebbitt,192 contributions,Temple,4,Couples,"Our tok tok Driver took us  here for the day. He also came into the temple with us. You do have to cover your legs if you’ve got shorts on, but the lady at reception gave me a lovely white sarong to cover myself with, everybody in the temple is wearing white. It’s lovely to watch the locals going about their day and praying to Buddha. you can also then go underground to the other side where there’s the massive dome which you can go inside and walk around and there are paintings around the wall of buddha , well worth the visit.","February 5, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,EPHtravels,"Aylesbury, United Kingdom",Glad we visited. Lovely temple site,5,Friends,"Glad we did a tut tut tour that included going to visit this temple site. Really serene, calm place. Beautiful artwork and easy to walk around and look at everything. It's on both sides of the road with a walkway (subway) under the road. I enjoyed our visit.","January 19, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,Aruna_Saman,"Colombo, Sri Lanka",Mind Relaxing Temple Located in Heart of the City Kaluthara,4,,"One of the Most peaceful and beautiful Temple in Lanka and when you pass kaluthara junction from Galle road , this is must visit place,  this is one of the few temples which can go inside the Sthupaha.  inside the sthupa we can see and explore the outside area from glass windows. and temple are was spread other side of the road we can cross the Galle road through under road tunnel. wear suitable clothes when visit there. in poyaday and weekend crowded. no need to buy tickets to enter temple,","January 3, 2025"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,Артем,"Gomel, Belarus",A place with charged energy,5,Solo,"Very authentic place, pleasant aromas of incense, beautiful details and one of the best and largest bodhias of Sri Lanka. It's better not to come on Sunday, so there'll be fewer people. And it's better to go with a guide who will tell you about the traditions of their religion!","December 11, 2024"
https://www.tripadvisor.com/Attraction_Review-g304136-d6023934-Reviews-Kalutara_Bodhiya-Kalutara_Western_Province.html,Kalutara Bodhiya,4.4,387,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bd/03/e6/caption.jpg?w=700&h=400&s=1,DilrukshiH,"Colombo, Sri Lanka",A Famous Temple,5,,"A world famous Buddhist temple in Kalutara. This temple is situated on the Galle road, therefore its a very busy & crowded place. Be cautious when crossing the road as its by the side of a very busy road. Much revered place by Buddhists, but it will be an interesting place for others too. Parking of vehicles will be  a little away from the temple.","April 30, 2024"
