Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Ladja,66 contributions,Beautiful temple with mountains in the background.,5,,"The temple is built in places visited by Buddha on his first visit to Sri Lanka. Behind the temple stands the Knuckles Mountain Range, which enhances the atmosphere of this place.","November 12, 2021"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,The Travel Couple - Chathu & Ishanka,"Kalutara, Sri Lanka","Ancient sacred temple, must visit for Buddhists",5,Couples,"This is a very sacred Buddhist religious place in Sri Lanka. It is believed to be the first Buddhist stupa built in Sri Lanka 🇱🇰. This is also the place Buddha stayed when he first visited the island. Apart from the religious importance, this is a very beautiful and calm temple. We visited at night time and it was really peaceful with less crowd. A must visit place for Buddhists .","December 9, 2020"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Travel with Sarath,"Piliyandala, Sri Lanka","Mahiyangana Temple, Mahiyangana, Badulla District,  Sri Lanka",5,,"Mahiyangana temple is ancient temple in Sri Lanka. Accoding to ancient  records,  Load Buddha  came to this place and this was one place among sixteen places. Mahiyanga stupa was renovated  by King Dutugamunu and other several kings.","January 4, 2020"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Lily 🌷,"Galle, Sri Lanka",Mahiyangana temple,5,,Mahiyangana Raja Maha Viharaya is believed to he the first visit of Gautama Buddha. And it is an ancient historical site situated in Mahiyangana,"September 16, 2019"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Seevali D,"Colombo, Sri Lanka",Ancient Buddhist Temple,5,,"My wife, our grandson and I visited The Mahiyangana temple early morning on 22nd July 2019.  After parking our car, we walked along the 150 metre long eastern paved path leading to the gleaming bell shaped white stupa accentuated against the lush green mountain range beyond.  I later found that there are four entrances on the four sides.  At each of these entrances is a moon stone with carved animals, clearly wasted by the many feet trudging over them.  On either side of the moon stones are two sculpted guardian figures about 750mm high.  There were many devotees who had come to pay homage at this Stupa.  We joined them and circled around along with other devotees while capturing some interesting photographs. I learned that this had been the first stupa built in Sri Lanka.  Records show that it had been renovated by King Dutugamunu in the second century bc.  It had since been renovated on several occasions.  The height of the stupa stands at 120 feet (37 metres).  This is a prominent cultural attraction that had been declared as a protected archaeological site. On the western side of the Stupa sits the image house.  We saw many devotees there.  A Hindu kovil (temple) dedicated to the deity 'Saman' is also prominent.  No photographs were permitted within the image house and the kovil.  A sculpted statue of future Buddha Maitri sits behind the image house. Even though it was early morning on a weekday, there were many devotees paying their respects by offering flowers and engaging in prayers, seated on the white sands, in typical elevated - hands together posture. A new buddha statue that would be 84 feet (25.2m) high is under construction, a little away towards the south-east of the stupa. We spent a little over an hour at the Mahiyangana temple. Entrance to the temple is free. Visitors are expected to dress modestly and behave with decorum as well as remove their footwear before entering the temple premises.","August 14, 2019"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,MarleenVV,66 contributions,Wurth visiting this beautiful temple,4,,"It is more than worth to visit this temple, surrounded by locals and no tourists , it gives a special feeling. We visited in march 2018 , but this is not anymore on the list0","August 11, 2019"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Yohan Thilakaratne,"Colombo, Sri Lanka",A very sacred place. Highly commercialized.,4,,A huge temple and a very significant temple in Sri Lanka. Always having some devotees. When it rains can get very muddy.,"February 5, 2019"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Shasha A,"Hong Kong, China",One of the most sacred places in Sri Lanka,5,,"This is the first place where Lord Gauthama Buddha has visited in Sri Lanka. So for all the Buddhist people, this place is very important. This is located in Mahiyanganaya City and please wear a suitable dress here, even though you're on a fun trip. Here you can explore a bit about the Buddhist culture.","December 26, 2018"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,aruna s,"Colombo, Sri Lanka",Secret place,5,Friends,very nice place..it feels very comfortable for life.so happy to stay long time there.very good place for buddhist place,"April 22, 2018"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,profjoypc,"Alnwick, United Kingdom",Beautiful historic temple,5,Couples,"We had a wonderful visit to this very historic temple despite the awful weather - it was pouring with rain and skies were grey as my photos show. Nevertheless, we waded through flooded paths to see it and were not disappointed. It has a magnificent approach with a long pathway lined with a wall that has elephants along it. This is reached through crossing a moonstone. The stupa is huge and the atmosphere peaceful and spiritual. This temple is very famous as it is believed to be the site of the Buddha's first visit to the island.","January 26, 2017"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Mr. V,"Kandy, Sri Lanka",,5,Friends,Main attraction of Mahiyanganaya is the Mahiyangana Temple.. This is the perahara season for Mahiyanganaya.. must visit place if you are a budhdhist,"September 7, 2016"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,The History T,"Negombo, Sri Lanka",,5,,"Mahiyangana Raja Maha Vihara is an ancient Buddhist temple in Mahiyangana, Sri Lanka. It is believed to be the site of Gautama Buddha's first visit to the country, and is one of the Solosmasthana, the 16 sacred religious locations in Sri Lanka.","January 22, 2016"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Dr. Dharshana Weerakoon,"Gampaha, Sri Lanka",,5,,"Mahiyangana Raja Maha Vihara is an ancient Buddhist temple in Mahiyangana, Sri Lanka. It is believed to be the site of Gautama Buddha's first visit to the country, and is one of the Solosmasthana, the 16 sacred religious locations in Sri Lanka.","January 7, 2016"
https://www.tripadvisor.com/Attraction_Review-g1756497-d4923149-Reviews-Mahiyangana_Raja_Maha_Viharaya-Mahiyanganaya_Uva_Province.html,Mahiyangana Raja Maha Viharaya,4.5,25,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/9d/cc/6b/mahiyangana-temple.jpg?w=700&h=400&s=1,Anuruth,"Bundoora, Australia",,5,,Authorities should take nessesory steps to preserve the beauty of this heritage site. Information center would be a good additive with some security staff and proper housekeeping.,"December 16, 2015"
