Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Deepak,"Suva, Fiji",Interesting Temple,4,Couples,Quite some history at this temple especially with relation to Lord Murgan. It's on the banks of Manik river and at times it seems like it is in the middle of the river. Usually a first stop before visiting Kataragama,"July 27, 2025"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Lahiru Abeywickrama,"Horana, Sri Lanka",Sella Katharagama,5,,This is holly place for god Walliamma’s people. That god is one of wife of god Katharagama. And that kovil is situated in beautiful place next to the river. And there is Buddhist temple next to that kovil.,"February 2, 2023"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,bala b,7 contributions,"First temple to visit, as Lord Ganesha is the first god to pray.",5,,This temple is open after the morning puja for people to pray and the Iyar is there to carry out individual puja.,"July 9, 2022"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Muditha J,"Colombo, Sri Lanka","historical, spiritual and cultural",4,,"Sellakatharagama is few Kilometers away from Kataragama main city. Recommended to visit there and to get a historical, spiritual and cultural experiences.","February 7, 2021"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,vchinthaka,"Doha, Qatar",Excellent spiritiual place,5,,"Sell katharagama has developed well over the past years. this time i have visited about 05 years after and i pleased to find the area is well organized and kept clean. over the years back, the place was too untidy and wasn't pleasant enough. how ever, being a one of the leading religious place, and many travelers are pilgrimages, they used to buy basket of fruits to worships the god. Sella katharagama is cheapest compare to other places. How ever, price of fruit basket is 03 time or more if you are going to buy from katharagama and Kiri Wehera area. i strongly suggest, if you are traveling on your own vehicle, please have the fruits taken before hand and this will help for you to save lot unnecessary expenditure which is not worth enough. also most of the traders around the area are too rude. in case if you want to buy vegetable, you may find that it's much cheaper than the Colombo or sub-herbs. but the vegges are sold in bags full, and only you will have good stuff on the top. the bottom is full of rotten vegetables. be careful in case if you wants to buy vegetables.","January 23, 2019"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,ilokaw,127 contributions,Spiritual and cultural,4,Friends,"A temple very close to the main Kataragama temple dedicated to Lord Ganesh, the god of wisdom. Head coverings and footwear have to be removed. The Pooja we went was in the evening around 6 pm. A beautiful Buddhist temple also on the same premises allows people to worship the devale and the temple","December 19, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,udayangis,"Kandy, Sri Lanka",kovil situated Menik River Bank,4,,"it is a kovil "" Ganapathi"". & also there is a temple newly build. many kovils & dewala situated here. can learn lot about hindu & local goddess. feeding fish was an amazing experience by the river bank.","December 12, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Suranga,"Ekala, Sri Lanka",A sacred place,5,,"Very crowded in weekends can park the vehicle very near to the temple, try the road before the market can drive near the temple.","October 2, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,A Ayesh A P,"Colombo, Sri Lanka",Sella!!!,5,Friends,Another  beautiful  sacred buddhist pilgrimage site in Kataragama. So many places to wotship within the site. Never miss to worship or visit this holy site whenever you visit Kataragama.,"September 22, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Padma S,"Dubai, United Arab Emirates",Nice place,3,Couples,This is a holy place situated next to Manik ganga. (river). There are lots of small shops and restaurants. But beware of touts and fake faith healers and what not. The temple above the kovila is a nice place to relax. Day time temperature is high during mid day in this area.,"May 24, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Honisoiquimalypense,"Derby, United Kingdom",,4,Solo,"After we parked the car, we walked ton a lane that has lots of shops on each side selling food, drinks, souvenirs etc and then we entered the temple complex. The main temple sits on the banks of a river. The temple is undergoing some maintenance just now and  the ""tower"" has been repainted gold and white.  As usual there are lots of statues of deities about, but  Ganesh is the most prevalent. We walked inside the ""main"" temple but could not get into the inner sanctum as it was closed off.","March 25, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Pasan M,7 contributions,,5,,It is a sacred place. You can observe much more activities if you can be there by morning 10. Highly crowded place in the weekend.,"February 5, 2018"
https://www.tripadvisor.com/Attraction_Review-g1188994-d8009264-Reviews-Sella_Kataragama_Temple-Kataragama_Uva_Province.html,Sella Kataragama Temple,4.5,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/53/d1/photo0jpg.jpg?w=700&h=400&s=1,Wijay,"England, United Kingdom",,5,,This temple is close to Kathirkamam Murugan temple but not sure if you can walk it. It is situated next to a river same as Kathirkamam Murugan temple. It is a must go place for religious people.,"January 30, 2018"
